Date,Mean Humidity
2018-05-12,72.61
2018-05-13,72.63
2018-05-14,72.62
2018-05-15,72.63
2018-05-16,72.64
2018-05-17,72.64
2018-05-18,72.65
2018-05-19,72.66
2018-05-20,72.69
2018-05-21,72.69
2018-05-22,72.69
2018-05-23,72.71
2018-05-24,72.69
2018-05-25,72.68
2018-05-26,72.69
2018-05-27,72.71
2018-05-28,72.74
2018-05-29,72.75
2018-05-30,72.77
2018-05-31,72.78
2018-06-01,72.8
2018-06-02,72.82
2018-06-03,72.81
2018-06-04,72.79
2018-06-05,72.78
2018-06-06,72.77
2018-06-07,72.76
2018-06-08,72.76
2018-06-09,72.76
2018-06-10,72.76
2018-06-11,72.74
2018-06-12,72.74
2018-06-13,72.74
2018-06-14,72.75
2018-06-15,72.78
2018-06-16,72.78
2018-06-17,72.77
2018-06-18,72.79
2018-06-19,72.8
2018-06-20,72.83
2018-06-21,72.84
2018-06-22,72.84
2018-06-23,72.86
2018-06-24,72.88
2018-06-25,72.89
2018-06-26,72.92
2018-06-27,72.94
2018-06-28,72.95
2018-06-29,72.98
2018-06-30,72.98
2018-07-01,73.01
2018-07-02,73.02
2018-07-03,73.04
2018-07-04,73.03
2018-07-05,73.01
2018-07-06,73.0
2018-07-07,72.99
2018-07-08,72.99
2018-07-09,73.0
2018-07-10,73.02
2018-07-11,73.01
2018-07-12,73.0
2018-07-13,73.0
2018-07-14,73.0
2018-07-15,73.01
2018-07-16,73.0
2018-07-17,72.99
2018-07-18,72.99
2018-07-19,73.0
2018-07-20,73.0
2018-07-21,73.0
2018-07-22,73.0
2018-07-23,72.99
2018-07-24,72.98
2018-07-25,73.0
2018-07-26,72.99
2018-07-27,72.97
2018-07-28,72.96
2018-07-29,72.95
2018-07-30,72.97
2018-07-31,72.97
2018-08-01,72.99
2018-08-02,72.98
2018-08-03,72.98
2018-08-04,72.98
2018-08-05,72.99
2018-08-06,72.98
2018-08-07,72.99
2018-08-08,73.0
2018-08-09,73.0
2018-08-10,72.99
2018-08-11,72.98
2018-08-12,72.96
2018-08-13,72.95
2018-08-14,72.94
2018-08-15,72.92
2018-08-16,72.91
2018-08-17,72.92
2018-08-18,72.91
2018-08-19,72.9
2018-08-20,72.88
2018-08-21,72.88
2018-08-22,72.91
2018-08-23,72.88
2018-08-24,72.91
2018-08-25,72.9
2018-08-26,72.88
2018-08-27,72.87
2018-08-28,72.87
2018-08-29,72.87
2018-08-30,72.86
2018-08-31,72.86
2018-09-01,72.85
2018-09-02,72.87
2018-09-03,72.87
2018-09-04,72.88
2018-09-05,72.88
2018-09-06,72.87
2018-09-07,72.9
2018-09-08,72.91
2018-09-09,72.93
2018-09-10,72.93
2018-09-11,72.94
2018-09-12,72.94
2018-09-13,72.92
2018-09-14,72.9
2018-09-15,72.88
2018-09-16,72.87
2018-09-17,72.85
2018-09-18,72.85
2018-09-19,72.84
2018-09-20,72.84
2018-09-21,72.85
2018-09-22,72.86
2018-09-23,72.84
2018-09-24,72.82
2018-09-25,72.8
2018-09-26,72.8
2018-09-27,72.78
2018-09-28,72.76
2018-09-29,72.74
2018-09-30,72.73
2018-10-01,72.72
2018-10-02,72.7
2018-10-03,72.69
2018-10-04,72.67
2018-10-05,72.65
2018-10-06,72.66
2018-10-07,72.66
2018-10-08,72.67
2018-10-09,72.69
2018-10-10,72.7
2018-10-11,72.7
2018-10-12,72.71
2018-10-13,72.72
2018-10-14,72.75
2018-10-15,72.74
2018-10-16,72.74
2018-10-17,72.74
2018-10-18,72.75
2018-10-19,72.74
2018-10-20,72.73
2018-10-21,72.72
2018-10-22,72.7
2018-10-23,72.71
2018-10-24,72.7
2018-10-25,72.71
2018-10-26,72.7
2018-10-27,72.71
2018-10-28,72.72
2018-10-29,72.72
2018-10-30,72.72
2018-10-31,72.73
2018-11-01,72.75
2018-11-02,72.75
2018-11-03,72.76
2018-11-04,72.76
2018-11-05,72.77
2018-11-06,72.76
2018-11-07,72.75
2018-11-08,72.74
2018-11-09,72.76
2018-11-10,72.76
2018-11-11,72.77
2018-11-12,72.77
2018-11-13,72.78
2018-11-14,72.78
2018-11-15,72.8
2018-11-16,72.8
2018-11-17,72.81
2018-11-18,72.82
2018-11-19,72.83
2018-11-20,72.82
2018-11-21,72.84
2018-11-22,72.84
2018-11-23,72.84
2018-11-24,72.84
2018-11-25,72.84
2018-11-26,72.84
2018-11-27,72.85
2018-11-28,72.85
2018-11-29,72.86
2018-11-30,72.86
2018-12-01,72.87
2018-12-02,72.87
2018-12-03,72.88
2018-12-04,72.88
2018-12-05,72.89
2018-12-06,72.9
2018-12-07,72.9
2018-12-08,72.9
2018-12-09,72.9
2018-12-10,72.91
2018-12-11,72.92
2018-12-12,72.93
2018-12-13,72.94
2018-12-14,72.95
2018-12-15,72.95
2018-12-16,72.95
2018-12-17,72.95
2018-12-18,72.95
2018-12-19,72.94
2018-12-20,72.94
2018-12-21,72.93
2018-12-22,72.93
2018-12-23,72.92
2018-12-24,72.91
2018-12-25,72.9
2018-12-26,72.89
2018-12-27,72.89
2018-12-28,72.87
2018-12-29,72.87
2018-12-30,72.87
2018-12-31,72.87
