Date,Mean Rainfall
2018-04-29,0.0
2018-04-30,2.49
2018-05-01,18.16
2018-05-02,5.03
2018-05-03,13.73
2018-05-04,0.33
2018-05-05,2.67
2018-05-06,0.74
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.32
2018-05-11,2.68
2018-05-12,0.42
2018-05-13,4.6
2018-05-14,1.53
2018-05-15,9.58
2018-05-16,11.94
2018-05-17,3.52
2018-05-18,13.69
2018-05-19,11.84
2018-05-20,10.28
2018-05-21,0.42
2018-05-22,1.12
2018-05-23,8.26
2018-05-24,0.04
2018-05-25,1.07
2018-05-26,32.41
2018-05-27,3.19
2018-05-28,9.82
2018-05-29,6.48
2018-05-30,0.58
2018-05-31,2.62
2018-06-01,0.08
2018-06-02,0.43
2018-06-03,0.17
2018-06-04,0.01
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,0.0
2018-06-08,11.15
2018-06-09,0.0
2018-06-10,0.0
2018-06-11,0.0
2018-06-12,0.1
2018-06-13,8.24
2018-06-14,3.94
2018-06-15,11.43
2018-06-16,0.01
2018-06-17,0.49
2018-06-18,12.17
2018-06-19,0.03
2018-06-20,21.01
2018-06-21,0.44
2018-06-22,1.64
2018-06-23,6.8
2018-06-24,0.23
2018-06-25,0.22
2018-06-26,21.49
2018-06-27,11.97
2018-06-28,0.61
2018-06-29,37.22
2018-06-30,0.04
2018-07-01,6.79
2018-07-02,0.66
2018-07-03,2.35
2018-07-04,0.01
2018-07-05,0.0
2018-07-06,0.01
2018-07-07,0.08
2018-07-08,0.0
2018-07-09,2.45
2018-07-10,0.02
2018-07-11,0.0
2018-07-12,0.0
2018-07-13,0.03
2018-07-14,0.94
2018-07-15,0.04
2018-07-16,0.0
2018-07-17,0.0
2018-07-18,0.0
2018-07-19,0.02
2018-07-20,0.02
2018-07-21,0.02
2018-07-22,2.15
2018-07-23,0.0
2018-07-24,0.04
2018-07-25,12.86
2018-07-26,0.0
2018-07-27,0.0
2018-07-28,0.01
2018-07-29,0.88
2018-07-30,2.77
2018-07-31,0.0
2018-08-01,0.95
